,DNA_UNIQUE_ID,Variety Group (Tree)1,days_to_mat,source_country,stdardized_mat,fast
77,IRIS 313-11111,Aus/boro,91.0,BANGLADESH,-1.70104128083,True
78,IRIS 313-11214,Aus/boro,143.0,BANGLADESH,0.479269544149,False
79,IRIS 313-10965,Aus/boro,98.0,BANGLADESH,-1.40753790054,True
80,IRIS 313-10603,Aus/boro,121.0,BANGLADESH,-0.443169651033,False
81,IRIS 313-10600,Aus/boro,121.0,BANGLADESH,-0.443169651033,False
82,IRIS 313-11210,Aus/boro,109.0,BANGLADESH,-0.946318302951,False
83,IRIS 313-10979,Aus/boro,105.0,BANGLADESH,-1.11403452026,True
84,IRIS 313-10987,Aus/boro,111.0,BANGLADESH,-0.862460194298,False
85,IRIS 313-11063,Aus/boro,98.0,BANGLADESH,-1.40753790054,True
86,IRIS 313-9170,Basmati/sadri,187.0,BANGLADESH,2.32414793451,False
87,IRIS 313-9682,Basmati/sadri,187.0,BANGLADESH,2.32414793451,False
88,IRIS 313-11218,Basmati/sadri,158.0,BANGLADESH,1.10820535905,False
89,IRIS 313-11062,Basmati/sadri,98.0,BANGLADESH,-1.40753790054,True
90,IRIS 313-11066,Basmati/sadri,92.0,BANGLADESH,-1.6591122265,True
91,IRIS 313-12094,Basmati/sadri,157.0,BANGLADESH,1.06627630472,False
92,IRIS 313-11401,Basmati/sadri,159.0,BANGLADESH,1.15013441337,False
93,IRIS 313-11068,Basmati/sadri,98.0,BANGLADESH,-1.40753790054,True
94,IRIS 313-11069,Basmati/sadri,92.0,BANGLADESH,-1.6591122265,True
95,IRIS 313-11070,Basmati/sadri,92.0,BANGLADESH,-1.6591122265,True
96,IRIS 313-10341,Indica,152.0,BANGLADESH,0.856631033087,False
97,IRIS 313-8854,Indica,147.0,BANGLADESH,0.646985761455,False
98,IRIS 313-8822,Indica,158.0,BANGLADESH,1.10820535905,False
99,IRIS 313-8632,Indica,146.0,BANGLADESH,0.605056707128,False
100,IRIS 313-11486,Indica,138.0,BANGLADESH,0.269624272516,False
101,IRIS 313-8737,Indica,154.0,BANGLADESH,0.94048914174,False
102,IRIS 313-8850,Indica,135.0,BANGLADESH,0.143837109537,False
103,IRIS 313-9218,Indica,152.0,BANGLADESH,0.856631033087,False
104,IRIS 313-9391,Indica,157.0,BANGLADESH,1.06627630472,False
105,IRIS 313-9325,Indica,149.0,BANGLADESH,0.730843870107,False
106,IRIS 313-8932,Indica,136.0,BANGLADESH,0.185766163863,False
107,IRIS 313-9139,Indica,140.0,BANGLADESH,0.353482381169,False
108,IRIS 313-9049,Indica,164.0,BANGLADESH,1.359779685,False
109,IRIS 313-8437,Indica,144.0,BANGLADESH,0.521198598475,False
110,IRIS 313-8683,Indica,173.0,BANGLADESH,1.73714117394,False
111,IRIS 313-8509,Indica,139.0,BANGLADESH,0.311553326843,False
112,IRIS 313-9072,Indica,120.0,BANGLADESH,-0.48509870536,False
113,IRIS 313-9696,Indica,141.0,BANGLADESH,0.395411435496,False
114,IRIS 313-9174,Indica,126.0,BANGLADESH,-0.233524379401,False
115,IRIS 313-8717,Indica,149.0,BANGLADESH,0.730843870107,False
116,IRIS 313-10340,Indica,152.0,BANGLADESH,0.856631033087,False
117,IRIS 313-9397,Indica,158.0,BANGLADESH,1.10820535905,False
118,IRIS 313-9271,Indica,120.0,BANGLADESH,-0.48509870536,False
119,IRIS 313-9617,Indica,142.0,BANGLADESH,0.437340489822,False
120,IRIS 313-9606,Indica,161.0,BANGLADESH,1.23399252203,False
121,IRIS 313-8733,Indica,148.0,BANGLADESH,0.688914815781,False
122,IRIS 313-8349,Indica,182.0,BANGLADESH,2.11450266288,False
123,IRIS 313-11558,Indica,154.0,BANGLADESH,0.94048914174,False
124,IRIS 313-9594,Indica,144.0,BANGLADESH,0.521198598475,False
125,IRIS 313-9156,Indica,139.0,BANGLADESH,0.311553326843,False
126,IRIS 313-9067,Indica,133.0,BANGLADESH,0.0599790008841,False
127,IRIS 313-11484,Indica,113.0,BANGLADESH,-0.778602085645,False
128,IRIS 313-8930,Indica,134.0,BANGLADESH,0.101908055211,False
129,IRIS 313-9262,Indica,133.0,BANGLADESH,0.0599790008841,False
130,IRIS 313-9148,Indica,141.0,BANGLADESH,0.395411435496,False
131,IRIS 313-8703,Indica,166.0,BANGLADESH,1.44363779366,False
132,IRIS 313-9066,Indica,108.0,BANGLADESH,-0.988247357277,False
133,IRIS 313-11722,Indica,118.0,BANGLADESH,-0.568956814013,False
134,IRIS 313-11404,Indica,171.0,BANGLADESH,1.65328306529,False
135,IRIS 313-10539,Indica,161.0,BANGLADESH,1.23399252203,False
136,IRIS 313-10971,Indica,128.0,BANGLADESH,-0.149666270748,False
137,IRIS 313-11114,Indica,142.0,BANGLADESH,0.437340489822,False
138,IRIS 313-11219,Indica,187.0,BANGLADESH,2.32414793451,False
139,IRIS 313-10983,Indica,134.0,BANGLADESH,0.101908055211,False
140,IRIS 313-11241,Indica,153.0,BANGLADESH,0.898560087413,False
141,IRIS 313-11326,Indica,130.0,BANGLADESH,-0.0658081620953,False
142,IRIS 313-11220,Indica,144.0,BANGLADESH,0.521198598475,False
143,IRIS 313-11221,Indica,144.0,BANGLADESH,0.521198598475,False
144,IRIS 313-10972,Indica,128.0,BANGLADESH,-0.149666270748,False
145,IRIS 313-10980,Indica,111.0,BANGLADESH,-0.862460194298,False
146,IRIS 313-10984,Indica,120.0,BANGLADESH,-0.48509870536,False
147,IRIS 313-11222,Indica,140.0,BANGLADESH,0.353482381169,False
148,IRIS 313-11321,Indica,147.0,BANGLADESH,0.646985761455,False
149,IRIS 313-10985,Indica,120.0,BANGLADESH,-0.48509870536,False
150,IRIS 313-11203,Indica,166.0,BANGLADESH,1.44363779366,False
151,IRIS 313-11557,Indica,110.0,BANGLADESH,-0.904389248625,False
152,IRIS 313-10986,Indica,120.0,BANGLADESH,-0.48509870536,False
153,IRIS 313-11211,Indica,158.0,BANGLADESH,1.10820535905,False
154,IRIS 313-11113,Indica,133.0,BANGLADESH,0.0599790008841,False
155,IRIS 313-10973,Indica,128.0,BANGLADESH,-0.149666270748,False
156,IRIS 313-11115,Indica,150.0,BANGLADESH,0.772772924434,False
157,IRIS 313-11212,Indica,158.0,BANGLADESH,1.10820535905,False
158,IRIS 313-10974,Indica,134.0,BANGLADESH,0.101908055211,False
159,IRIS 313-11204,Indica,148.0,BANGLADESH,0.688914815781,False
160,IRIS 313-11205,Indica,176.0,BANGLADESH,1.86292833692,False
161,IRIS 313-10975,Indica,134.0,BANGLADESH,0.101908055211,False
162,IRIS 313-11206,Indica,152.0,BANGLADESH,0.856631033087,False
163,IRIS 313-10982,Indica,139.0,BANGLADESH,0.311553326843,False
164,IRIS 313-11945,Indica,160.0,BANGLADESH,1.1920634677,False
165,IRIS 313-10977,Indica,139.0,BANGLADESH,0.311553326843,False
166,IRIS 313-8864,Indica,91.0,BANGLADESH,-1.70104128083,True
167,IRIS 313-11207,Indica,168.0,BANGLADESH,1.52749590231,False
168,IRIS 313-10978,Indica,120.0,BANGLADESH,-0.48509870536,False
169,IRIS 313-11208,Indica,184.0,BANGLADESH,2.19836077153,False
170,IRIS 313-11224,Indica,158.0,BANGLADESH,1.10820535905,False
171,IRIS 313-11399,Indica,159.0,BANGLADESH,1.15013441337,False
172,IRIS 313-11225,Indica,176.0,BANGLADESH,1.86292833692,False
173,IRIS 313-11226,Indica,160.0,BANGLADESH,1.1920634677,False
174,IRIS 313-11227,Indica,158.0,BANGLADESH,1.10820535905,False
175,IRIS 313-11228,Indica,158.0,BANGLADESH,1.10820535905,False
176,IRIS 313-11229,Indica,140.0,BANGLADESH,0.353482381169,False
177,IRIS 313-11230,Indica,158.0,BANGLADESH,1.10820535905,False
178,IRIS 313-11402,Indica,134.0,BANGLADESH,0.101908055211,False
179,IRIS 313-11964,Indica,136.0,BANGLADESH,0.185766163863,False
180,IRIS 313-11209,Indica,165.0,BANGLADESH,1.40170873933,False
181,IRIS 313-11231,Indica,158.0,BANGLADESH,1.10820535905,False
182,IRIS 313-11400,Indica,158.0,BANGLADESH,1.10820535905,False
183,IRIS 313-9445,Intermediate type,144.0,BANGLADESH,0.521198598475,False
184,IRIS 313-11223,Intermediate type,158.0,BANGLADESH,1.10820535905,False
185,IRIS 313-10537,Intermediate type,161.0,BANGLADESH,1.23399252203,False
186,IRIS 313-11125,Intermediate type,132.0,BANGLADESH,0.0180499465576,False
187,IRIS 313-11217,Intermediate type,138.0,BANGLADESH,0.269624272516,False
188,IRIS 313-11487,Temperate japonica,136.0,BANGLADESH,0.185766163863,False
189,IRIS 313-8890,Temperate japonica,100.0,BELGIUM,-1.32367979189,True
190,IRIS 313-10048,Indica,135.0,BENIN,0.143837109537,False
191,IRIS 313-11661,Aus/boro,92.0,BHUTAN,-1.6591122265,True
192,IRIS 313-8765,Basmati/sadri,138.0,BHUTAN,0.269624272516,False
193,IRIS 313-8814,Basmati/sadri,132.0,BHUTAN,0.0180499465576,False
194,IRIS 313-11743,Indica,131.0,BHUTAN,-0.0238791077689,False
195,IRIS 313-8519,Indica,126.0,BHUTAN,-0.233524379401,False
196,IRIS 313-9572,Indica,120.0,BHUTAN,-0.48509870536,False
197,IRIS 313-9506,Indica,118.0,BHUTAN,-0.568956814013,False
198,IRIS 313-11691,Indica,114.0,BHUTAN,-0.736673031319,False
199,IRIS 313-11120,Indica,111.0,BHUTAN,-0.862460194298,False
200,IRIS 313-12138,Indica,129.0,BHUTAN,-0.107737216422,False
201,IRIS 313-9404,Intermediate type,97.0,BHUTAN,-1.44946695487,True
202,IRIS 313-8302,Temperate japonica,106.0,BHUTAN,-1.07210546593,True
203,IRIS 313-9048,Temperate japonica,120.0,BHUTAN,-0.48509870536,False
204,IRIS 313-8637,Tropical japonica,109.0,BHUTAN,-0.946318302951,False
205,IRIS 313-9529,Tropical japonica,112.0,BHUTAN,-0.820531139972,False
206,IRIS 313-8486,Tropical japonica,104.0,BHUTAN,-1.15596357458,True
207,IRIS 313-8815,Tropical japonica,112.0,BHUTAN,-0.820531139972,False
208,IRIS 313-8857,Tropical japonica,112.0,BHUTAN,-0.820531139972,False
209,IRIS 313-11690,Tropical japonica,112.0,BHUTAN,-0.820531139972,False
210,IRIS 313-10969,Aus/boro,98.0,BRAZIL,-1.40753790054,True
211,IRIS 313-9623,Indica,121.0,BRAZIL,-0.443169651033,False
212,IRIS 313-10161,Indica,136.0,BRAZIL,0.185766163863,False
213,IRIS 313-11429,Indica,118.0,BRAZIL,-0.568956814013,False
214,IRIS 313-10220,Indica,121.0,BRAZIL,-0.443169651033,False
215,IRIS 313-10301,Indica,112.0,BRAZIL,-0.820531139972,False
216,IRIS 313-10301,Indica,112.0,BRAZIL,-0.820531139972,False
217,IRIS 313-11411,Indica,131.0,BRAZIL,-0.0238791077689,False
218,IRIS 313-11912,Indica,150.0,BRAZIL,0.772772924434,False
219,IRIS 313-11912,Indica,150.0,BRAZIL,0.772772924434,False
220,IRIS 313-10966,Indica,98.0,BRAZIL,-1.40753790054,True
221,IRIS 313-10968,Indica,98.0,BRAZIL,-1.40753790054,True
222,IRIS 313-11425,Intermediate type,122.0,BRAZIL,-0.401240596707,False
223,IRIS 313-11428,Temperate japonica,122.0,BRAZIL,-0.401240596707,False
224,IRIS 313-9193,Temperate japonica,95.0,BRAZIL,-1.53332506352,True
225,IRIS 313-10967,Temperate japonica,102.0,BRAZIL,-1.23982168324,True
226,IRIS 313-11426,Tropical japonica,136.0,BRAZIL,0.185766163863,False
227,IRIS 313-11427,Tropical japonica,120.0,BRAZIL,-0.48509870536,False
228,IRIS 313-10620,Tropical japonica,120.0,BRAZIL,-0.48509870536,False
229,IRIS 313-8694,Tropical japonica,100.0,BRAZIL,-1.32367979189,True
230,IRIS 313-11238,Tropical japonica,122.0,BRAZIL,-0.401240596707,False
231,IRIS 313-9574,Indica,154.0,BRUNEI DARUSSALAM,0.94048914174,False
232,IRIS 313-11989,Indica,182.0,BRUNEI DARUSSALAM,2.11450266288,False
233,IRIS 313-10089,Temperate japonica,98.0,BULGARIA,-1.40753790054,True
234,IRIS 313-8391,Indica,160.0,BURKINA FASO,1.1920634677,False
235,IRIS 313-11938,Indica,151.0,BURKINA FASO,0.81470197876,False
236,IRIS 313-11939,Indica,150.0,BURKINA FASO,0.772772924434,False
237,IRIS 313-11983,Indica,161.0,BURKINA FASO,1.23399252203,False
238,IRIS 313-11940,Indica,151.0,BURKINA FASO,0.81470197876,False
239,IRIS 313-11941,Indica,140.0,BURKINA FASO,0.353482381169,False
240,IRIS 313-11946,Tropical japonica,178.0,BURKINA FASO,1.94678644557,False
241,IRIS 313-10114,Indica,114.0,BURUNDI,-0.736673031319,False
242,IRIS 313-12053,Indica,112.0,BURUNDI,-0.820531139972,False
243,IRIS 313-11914,Indica,139.0,BURUNDI,0.311553326843,False
